word count,POS_Standardized,hebrew,transliteration,meaning,gematria ,prime factorization,,,,Is_Prime,Prime_Factor_Count,Contains_Factor_2,Contains_Factor_3,Numerical_Range,Semantic_Category
869,verb,ענה,ana,answered (m.s.),125,5³,5³,,,,,,,,
1490,noun,ענף,anaf,branch / field,170,2 × 5 × 17,2,5,17,,,,,,
1278,noun,ענן,anan,cloud,70+50+50 = 170,2 * 5 * 17,2,5,17,,,,,,
1314,noun,ענן,anan,cloud,70+50+50 = 170,2 × 5 × 17,2,5,17,,,,,,
1547,noun,ענבים,anavim,grapes,70+50+2+10+40+10 = 182,2 × 7 × 13,2,7,13,,,,,,
1348,verb,ענתה,anta,answered (f.s.),515,5 × 103,5,103,,,,,,,
1048,pronoun,אנו,anu,we,57,3 × 19,3,19,,,,,,,
1385,adjective,ארוך,arokh,long (m.s.),217,7 × 31,7,31,,,,,,,
1293,adjective,ארוכה,aruka,long (f.s.),217,7 × 31,7,31,,,,,,,
1243,verb,עשה,asa,did (m.s.),70+300+5 = 375,3 * 5³,3,5³,,,,,,,
1578,verb,עסק,asak,dealt / engaged / worked (m.s.),180,2² × 3² × 5,2²,3²,5,,,,,,
876,noun,עשרות,asarot,dozens [literally: tens],976,2⁴ × 61,2⁴,61,,,,,,,
1363,noun,עשבים,asavim,herbs,70+300+2+10+40+10 = 432,2⁴ × 3³,2⁴,3³,,,,,,,
1311,adjective,עשוי,asui,might / made (m.s.),386,2 × 193,2,193,,,,,,,
1076,noun,אתר,atar,site / location,601,601,601,,,,,,,,
636,pronoun,אתם,atem,you (m.pl.),441,3² × 7²,3²,7²,,,,,,,
1352,noun,עצי,atsei,trees of,120,2³ × 3 × 5,2³,3,5,,,,,,
664,pronoun,עצמה,atsma,herself,205,5 × 41,5,41,,,,,,,
556,pronoun,עצמם,atsmam,themselves,240,2⁴ × 3 × 5,2⁴,3,5,,,,,,
668,pronoun,עצמי,atsmi,myself / self,210,2 × 3 × 5 × 7,2,3,5,7,,,,,
1191,noun,אב,av,father,3,3,3,,,,,,,,
1533,noun,אבטיח,avati'ach,watermelon,1+2+400+10+8+10+8 = 439,439,439,,,,,,,,
1253,noun,אוויר,avir,air,1+6+10+200 = 217,7 * 31,7,31,,,,,,,
989,noun,אוויר,avir,air,217,7 × 31,7,31,,,,,,,
865,noun,אביו,aviv,his father,19,19,19,,,,,,,,
659,noun,עבודה,avoda,work,86,2 × 43,2,43,,,,,,,
700,verb,עברה,avra,passed / crossed / went through (f.s.),282,2 × 3 × 47,2,3,47,,,,,,
1095,verb,עברו,avru,passed / crossed / went through (pl.),282,2 × 3 × 47,2,3,47,,,,,,
859,noun,עין,ayin,eye / fountain / spring,130,2 × 5 × 13,2,5,13,,,,,,
1159,verb/adjective,באה,ba'a,coming / came (f.s.) / next (f.s.),7,7,7,,,,,,,,
697,noun,בעלת,ba'alat,the owner of / has,472,2³ × 59,2³,59,,,,,,,
488,noun,בעלות,ba'alut,ownership,478,2 × 239,2,239,,,,,,,
495,adverb,בעבר,ba'avar,in the past,282,2 × 3 × 47,2,3,47,,,,,,
837,preposition,באמצע,ba'emtsa,in the middle,152,2³ × 19,2³,19,,,,,,,
831,preposition,באזורים,ba'ezorim,in areas,268,2² × 67,2²,67,,,,,,,
814,preposition,באי,ba'i,on the island,13,13,13,,,,,,,,
1445,preposition,בעניין,ba'inyan,on the matter of / with interest,182,2 × 7 × 13,2,7,13,,,,,,
1510,preposition,בעונה,ba'ona,in a season,133,7 × 19,7,19,,,,,,,
1459,verb,באו,ba'u,came (pl.),9,3²,3²,,,,,,,,
1531,preposition,בבוקר,baboker,in the morning,224,2⁵ × 7,2⁵,7,,,,,,,
762,preposition,בדרום,badarom,in the south,255,3 × 5 × 17,3,5,17,,,,,,
1305,preposition,בדבר,badavar,regarding / in the thing,206,2 × 103,2,103,,,,,,,
1567,adverb,בפועל,bafo'al,actually,186,2 × 3 × 31,2,3,31,,,,,,
483,adverb,בהמשך,bahemshekh,Later / later on,358,2 × 179,2,179,,,,,,,
1489,preposition,בחיים,bakhayim,alive / in life,68,2² × 17,2²,17,,,,,,,
1220,noun/phrase,בחזית,bakhazit,at the front,2+8+7+10+400+10 = 437,19 * 23,19,23,,,,,,,
1436,preposition,בלילה,balaila,in the night / at night,75,3 × 5²,3,5²,,,,,,,
1468,preposition,בליגה,baliga,in a league,42,2 × 3 × 7,2,3,7,,,,,,
853,preposition,במערב,bama'arav,in the west,278,2 × 139,2,139,,,,,,,
1344,preposition,במים,bamayim,in water,92,2² × 23,2²,23,,,,,,,
714,preposition,במרכז,bamerkaz,at the center,273,3 × 7 × 13,3,7,13,,,,,,
1014,preposition,במדבר,bamidbar,in the desert,252,2² × 3² × 7,2²,3²,7,,,,,,
1153,preposition,במצעד,bamits'ad,in the parade / in the march,156,2² × 3 × 13,2²,3,13,,,,,,
1128,preposition,במזרח,bamizrakh,in the east / to the east,248,2³ × 31,2³,31,,,,,,,
1374,noun,בננה,banana,banana,2+50+50+50+5 = 157,157,157,,,,,,,,
1072,noun,בניו,banav,his sons,68,2² × 17,2²,17,,,,,,,
681,noun,בנק,bank,bank,152,2³ × 19,2³,19,,,,,,,
1519,preposition,בפארק,bapark,in a park,392,2³ × 7²,2³,7²,,,,,,,
902,noun/adjective/suffix,בר,bar,wild / son / -able / bar,202,2 × 101,2,101,,,,,,,
1340,noun,בר,bar,field / grain,2+200 = 202,2 × 101,2,101,,,,,,,
1316,noun,ברק,barak,lightning,2+200+100+20 = 322,2 × 7 × 23,2,7,23,,,,,,
1525,preposition,ברמה,barama,at the height / at the level,243,3⁵,3⁵,,,,,,,,
596,preposition,ברחוב,barekhov,on the street,228,2² × 3 × 19,2²,3,19,,,,,,
1461,preposition,ברחובות,barekhovot,on the streets,624,2⁴ × 3 × 13,2⁴,3,13,,,,,,
537,adjective,ברור,barur,clear / obvious (m.s.),218,2 × 109,2,109,,,,,,,
1389,noun,ברזל,barzel,iron,298,2 × 149,2,149,,,,,,,
1152,preposition,בשפה,basafa,in the language / on the lip,385,5 × 7 × 11,5,7,11,,,,,,
646,noun,בשר,basar,meat,502,2 × 251,2,251,,,,,,,
1151,preposition,בספר,basefer,in the book,382,2 × 191,2,191,,,,,,,
928,preposition,בשנה,bashana,in the year,357,3 × 7 × 17,3,7,17,,,,,,
919,preposition,בשטח,bashetakh,in the area / in the field,322,2 × 7 × 23,2,7,23,,,,,,
1196,preposition,בשימוש,bashimush,in use,748,2² × 11 × 17,2²,11,17,,,,,,
496,noun,בסיס,basis,basis / base,122,2 × 61,2,61,,,,,,,
552,noun,בת,bat,girl / daughter,402,2 × 3 × 67,2,3,67,,,,,,
1367,preposition,בתהליך,batahalikh,in process,468,2² × 3² × 13,2²,3²,13,,,,,,
1429,preposition,בתרבות,batarbut,in the civilization / in the culture,642,2 × 3 × 107,2,3,107,,,,,,
1322,preposition,בתיאור,bate'ur,in the description,616,2³ × 7 × 11, ,7,11,,,,,,
862,adverb,בתחילה,batkhila,at first / initially,453,3 × 151,3,151,,,,,,,
1373,preposition,בתואר,bato'ar,[in] the title / [in] the degree / [in] the adjective,616,2³ × 7 × 11,2³,7,11,,,,,,
1271,preposition,בתור,bator,in line / as,606,2 × 3 × 101,2,3,101,,,,,,
1018,preposition,בצד,batsad,on the side,96,2⁵ × 3,2⁵,3,,,,,,,
1388,preposition,בים,bayam,in the sea,52,2² × 13,2²,13,,,,,,,
624,adverb,בזה,baze,hereby,9,3²,3²,,,,,,,,
1319,noun,בדיקות,bdikot,examinations / tests,436,2² × 109,2²,109,,,,,,,
1304,pronoun,בעצמו,be'atsmo,Himself / personally (m.s.),208,2⁴ × 13,2⁴,13,,,,,,,
712,preposition,בעיני,be'einei,in the eyes of / in the opinion of,142,2 × 71,2,71,,,,,,,
882,adverb,באמת,be'emet,really,442,2 × 13 × 17,2,13,17,,,,,,
1110,adverb,בעצם,be'etsem,actually / in fact / in a bone,220,2² × 5 × 11,2²,5,11,,,,,,
433,preposition,בעזרת,be'ezrat,with the help of,1087,1087,1087,,,,,,,,
754,preposition,בעברית,be'ivrit,in Hebrew,687,3 × 229,3,229,,,,,,,
517,adjective,באותו,be'oto,in the same / at the same (m.s.),419,419,419,,,,,,,,
1570,preposition,באוניברסיטת,be'universitat,at the university of,1072,2⁴ × 67,2⁴,67,,,,,,,
1100,preposition,בבחירות,bebkhirot,in elections,638,2 × 11 × 29,2,11,29,,,,,,
651,adverb,בדיוק,bediyuk,exactly,56,2³ × 7,2³,7,,,,,,,
709,preposition,בדומה,bedome,like,55,5 × 11,5,11,,,,,,,
683,preposition,בפעם,befa'am,[to] time,142,2 × 71,2,71,,,,,,,
1564,preposition,בפיקודו,befikudo,under his command,136,2³ × 17,2³,17,,,,,,,
1146,preposition,בגיל,begil,at an age / with joy,47,47,47,,,,,,,,
1413,preposition,בגין,begin,because of,57,3 × 19,3,19,,,,,,,
1558,adverb,בהרבה,beharbe,in much / in many,42,2 × 3 × 7,2,3,7,,,,,,
666,adverb,בהתאם,behet'em,accordingly,497,7 × 71,7,71,,,,,,,
1122,preposition,בחלק,bekhelek,in part,158,2 × 79,2,79,,,,,,,
704,preposition,בחודש,bekhodesh,in a month,328,2³ × 41,2³,41,,,,,,,
1398,preposition,בקול,bekol,[with] a voice / [with] a sound / loudly,136,2³ × 17,2³,17,,,,,,,
494,adverb,במקביל,bemakbil,in parallel / simultaneously,192,2⁶ × 3,2⁶,3,,,,,,,
807,preposition,במטרה,bematara,aimed at,247,13 × 19,13,19,,,,,,,
669,preposition,במצב,bematsav,at a state / in a situation,148,2² × 37,2²,37,,,,,,,
1185,preposition,במרחק,bemerkhak,at a distance,348,2² × 3 × 29,2²,3,29,,,,,,
561,preposition,במידה,bemida,of a measure / to the extent that,58,2 × 29,2,29,,,,,,,
799,adverb,במקרה,bemikre,in case / accidentally,353,353,353,,,,,,,,
1274,preposition,במקרים,bemikrim,in cases,292,2² × 73,2²,73,,,,,,,
730,preposition,במלחמה,bemilkhama,at war,123,3 × 41,3,41,,,,,,,
852,preposition,במלחמת,bemilkhemet,in the war of,688,2⁴ × 43,2⁴,43,,,,,,,
493,preposition,במשחק,bemis'khak,in a game,358,2 × 179,2,179,,,,,,,
500,preposition,במספר,bemispar,at a number,342,2 × 3² × 19,2,3²,19,,,,,,
1565,preposition,במבצע,bemivtsa,in an operation / on sale,192,2⁶ × 3,2⁶,3,,,,,,,
489,preposition,בניגוד,benigud,in contrast / contrary to,76,2² × 19,2²,19,,,,,,,
1093,preposition,בנוגע,benoge'a,About / in regards,133,7 × 19,7,19,,,,,,,
801,preposition,בנושא,benose,on the subject of,423,3² × 47,3²,47,,,,,,,
1123,preposition,ברמת,beramat,at the level of,640,2⁷ × 5,2⁷,5,,,,,,,
1158,preposition,ברגע,berega,in an instance / at the moment [that],283,283,283,,,,,,,,
1207,noun,בראשית,bereshit,in the beginning / Genesis,2+200+1+300+10+400 = 913,11 * 83,11,83,,,,,,,
1207,adverb/noun,בראשית,bereshit,in the beginning / Genesis,913,11 × 83,11,83,,,,,,,
443,preposition,בראש,berosh,at the top / leading / in a head,503,503,503,,,,,,,,
781,preposition,ברוב,berov,in most of,208,2⁴ × 13,2⁴,13,,,,,,,
1124,adverb,בסמוך,besamukh,near by / close,132,2² × 3 × 11,2²,3,11,,,,,,
974,preposition,בשעה,besha'a,at [time] / per hour / in an hour,377,13 × 29,13,29,,,,,,,
478,preposition,בשלב,beshalav,at a stage / at a phase,342,2 × 3² × 19,2,3²,19,,,,,,
741,preposition,בסופו,besofo,at his end / at its end,148,2² × 37,2²,37,,,,,,,
658,preposition,בספורט,besport,in sport,682,2 × 11 × 31,2,11,31,,,,,,
573,preposition,בתל,betel,on a hill,442,2 × 13 × 17,2,13,17,,,,,,
963,conjunction,בטרם,beterem,before,642,2 × 3 × 107,2,3,107,,,,,,
790,preposition,בטיפול,betipul,in treatment,56,2³ × 7,2³,7,,,,,,,
1523,preposition,בתולדות,betoldot,in the history of,448,2⁶ × 7,2⁶,7,,,,,,,
1002,preposition,בצורת,betsurat,in the shape of / in the form of,702,2 × 3³ × 13,2,3³,13,,,,,,
1336,preposition,בבתי,bevatei,in [the] houses of / at the homes of,432,2⁴ × 3³,2⁴,3³,,,,,,,
1487,adverb,ביחד,beyakhad,together,32,2⁵,2⁵,,,,,,,,
947,preposition,ביחס,beyakhas,in relation / regarding / at a ratio,330,2 × 3 × 5 × 11,2,3,5,11,,,,,
1404,preposition,בימים,beyamim,on [days] / in days,62,2 × 31,2,31,,,,,,,
1485,noun,ביצים,beytsim,eggs,140,2² × 5 × 7,2²,5,7,,,,,,
1285,preposition,בי,bi,in me,12,2² × 3,2²,3,,,,,,,
536,preposition,בגלל,biglal,because,65,5 × 13,5,13,,,,,,,
1329,verb,ביקש,bikesh,asked / looked for / wished (m.s.),322,2 × 7 × 23,2,7,23,,,,,,
587,adverb,בכלל,bikhlal,at all,92,2² × 23,2²,23,,,,,,,
794,noun,ביקורת,bikoret,criticism / inspection,722,2 × 19²,2,19²,,,,,,,
981,preposition,במדינות,bimdinot,in states,506,2 × 11 × 23,2,11,23,,,,,,
520,preposition,בימי,bimei,on [days] / in the days of,62,2 × 31,2,31,,,,,,,
901,adverb,במהירות,bimhirut,fast / rapidly / quickly,657,3³ × 73,3³,73,,,,,,,
577,preposition,במקומות,bimkomot,in/at places,497,7 × 71,7,71,,,,,,,
411,noun,בניין,binyan,building,122,2 × 61,2,61,,,,,,,
765,preposition,בשביל,bishvil,for,362,2 × 181,2,181,,,,,,,
628,preposition,בתחום,bitkhum,in a field / in an area / in a range,498,2 × 3 × 83,2,3,83,,,,,,
1172,noun,ביטוי,bitui,expression,37,37,37,,,,,,,,
675,preposition,בזכות,bizkhut,thanks to / due to / by right of,442,2 × 13 × 17,2,13,17,,,,,,
479,preposition,בלי,bli,without,42,2 × 3 × 7,2,3,7,,,,,,
1545,noun,בנייה,bniya,construction,67,67,67,,,,,,,,
874,noun,בניית,bniyat,building of (v.),472,2³ × 59,2³,59,,,,,,,
687,noun,בנו,bno,his son,58,2 × 29,2,29,,,,,,,
1269,noun,בוקר,boker,morning,2+6+100+200 = 308,2² * 7 * 11,2²,7,11,,,,,,
1540,noun,ברוקולי,brokuli,broccoli,2+200+6+100+30+10+30 = 378,2 × 3³ × 7,2,3³,7,,,,,,
1085,preposition,בספרו,bsifro,in his book,292,2² × 73,2²,73,,,,,,,
613,preposition,ביער,bya'ar,in a forest,292,2² × 73,2²,73,,,,,,,
1256,noun,חיה,chaya,animal / life,8+10+5 = 23,23,23,,,,,,,,
1378,noun,דעת,da'at,mind / knowledge / wisdom,474,2 × 3 × 79,2,3,79,,,,,,
1258,noun,דג,dag,fish,4+3 = 7,7,7,,,,,,,,
1350,noun,דגן,dagan,grain,4+3+50+50 = 107,107,107,,,,,,,,
1465,noun/adjective,דקות,dakot,minutes / thin (f.pl.),424,2³ × 53,2³,53,,,,,,,
444,noun,דם,dam,blood,44,2² × 11,2²,11,,,,,,,
1470,noun,דרכו,darko,his way / through him/it,230,2 × 5 × 23,2,5,23,,,,,,
761,noun,דרום,darom,south,250,2 × 5³,2,5³,,,,,,,
1566,noun,דת,dat,religion,404,2² × 101,2²,101,,,,,,,
832,adverb,דווקא,davka,actually / spitefully,130,2 × 5 × 13,2,5,13,,,,,,
711,adverb,די,day,enough,14,2 × 7,2,7,,,,,,,
1106,noun,דיין,dayan,judge,74,2 × 37,2,37,,,,,,,
491,noun,דגל,degel,flag,37,37,37,,,,,,,,
1393,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1418,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1430,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1456,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1482,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1508,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1534,noun,דלעת,dela'at,pumpkin,4+30+30+70+400 = 534,2 × 3 × 89,2,3,89,,,,,,
1394,noun,דלורית,delurit,squash,4+30+6+200+10+400+9 = 659,659,659,,,,,,,,
1003,noun,דמוקרטיה,demokratya,democracy,264,2³ × 3 × 11,2³,3,11,,,,,,
1109,verb/noun,לדבר,diber,spoke (m.s.) / commandment,226,2 × 113,2,113,,,,,,,
677,noun,דין,din,judgment / sentence / law,64,2⁶,2⁶,,,,,,,,
571,noun,דיוויזיות,divizyot,divisions,546,2 × 3 × 7 × 13,2,3,7,13,,,,,
1536,noun,דמות,dmut,image / figure / shape / character,454,2 × 227,2,227,,,,,,,
1397,noun,דמותו,dmuto,his image / his figure / his character,456,2³ × 3 × 19,2³,3,19,,,,,,
1171,noun,דמויות,dmuyot,shapes / figures / characters,466,2 × 233,2,233,,,,,,,
689,noun,דולר,dolar,dollar,269,269,269,,,,,,,,
1563,adjective,דומים,domim,similar / resembling (m.pl.),104,2³ × 13,2³,13,,,,,,,
726,noun,דרכים,drakhim,ways / roads,254,2 × 127,2,127,,,,,,,
732,prefix,דו,du,bi-,10,2 × 5,2,5,,,,,,,
986,noun,דוגמה,dugma,sample / example,54,2 × 3³,2,3³,,,,,,,
1376,noun,דובדבן,duvdevan,cherry,4+6+2+4+2+50+5 = 73,73,73,,,,,,,,
1184,noun,דברים,dvarim,words / what was/is said / things,256,2⁸,2⁸,,,,,,,,
1338,noun,אדי,edi,vapor / steam,1+4+10 = 15,3 × 5,3,5,,,,,,,
1228,adverb,אפוא,efo,then / consequently,1+80+6+1 = 88,2³ * 11,2³,11,,,,,,,
1299,noun,אפשרות,efsharut,possibility,387,3² × 43,3²,43,,,,,,,
431,adverb,איך,eikh,how,21,3 × 7,3,7,,,,,,,
965,verb,אינן,einan,are not / are not here (f.pl.),121,11²,11²,,,,,,,,
1156,noun,עיני,einei,eyes of,130,2 × 5 × 13,2,5,13,,,,,,
1556,verb,איננה,einena,is not / is not here (f.s.),121,11²,11²,,,,,,,,
650,verb,אינני,eineni,I am not,121,11²,11²,,,,,,,,
1327,verb,איננו,eineno,is not / is not here (m.s.),117,3² × 13,3²,13,,,,,,,
436,pronoun,איזה,eize,which / what (m.),22,2 × 11,2,11,,,,,,,
592,preposition,אלי,elai,to me,41,41,41,,,,,,,,
927,preposition,אליה,eleha,to her,46,2 × 23,2,23,,,,,,,
1139,preposition,אליהם,eleihem,to them (m.),101,101,101,,,,,,,,
1431,noun,אלקטרונים,elektronim,electrons,307,307,307,,,,,,,,
1226,noun,אלים,elim,gods,1+30+10+40 = 81,3⁴,3⁴,,,,,,,,
1181,pronoun/conjunction,אילו,elu,which (pl.) / if,47,47,47,,,,,,,,
1282,noun,עמק,emek,valley,70+40+100 = 210,2 * 3 * 5 * 7,2,3,5,7,,,,,
1323,noun,עמק,emek,valley,70+40+100 = 210,2 × 3 × 5 × 7,2,3,5,7,,,,,
1216,noun,אמת,emet,truth,1+40+400 = 441,3² * 7²,3²,7²,,,,,,,
1060,adjective,אמצעי,emtsa'i,Mean / middle,151,151,151,,,,,,,,
607,noun,אנרגיה,energiya,energy,228,2² × 3 × 19,2²,3,19,,,,,,
1320,noun,ארץ,eretz,land / earth,1+200+90+90 = 381,3 × 127,3,127,,,,,,,
1270,noun,ערב,erev,evening,1+200+2+2 = 205,5 * 41,5,41,,,,,,,
858,noun/adjective,ערב,erev,evening / pleasant,272,2⁴ × 17,2⁴,17,,,,,,,
1501,noun,אירוע,eru'a,event,287,7 × 41,7,41,,,,,,,
1251,noun,אש,esh,fire,1+300 = 301,7 * 43,7,43,,,,,,,
1538,noun,אש,esh,fire,301,7 × 43,7,43,,,,,,,
534,noun,אשכול,eshkol,cluster,541,541,541,,,,,,,,
1529,noun,אשכולית,eshkolit,grapefruit,1+300+20+30+6+10+400+10 = 777,3 × 7 × 37,3,7,37,,,,,,
547,noun,עת,et,time,470,2 × 5 × 47,2,5,47,,,,,,
1097,noun,עצם,etsem,object / bone / essence / -self,220,2² × 5 × 11,2²,5,11,,,,,,
583,noun,עצים,etsim,trees / logs,220,2² × 5 × 11,2²,5,11,,,,,,
1254,noun,עץ,etz,tree,70+10+90 = 170,2 * 5 * 17,2,5,17,,,,,,
404,noun,אבן,even,stone,53,53,53,,,,,,,,
421,noun,אזור,ezor,area / region / zone,218,2 × 109,2,109,,,,,,,
1028,noun,אזרחים,ezrakhim,citizens,268,2² × 67,2²,67,,,,,,,
746,preposition,גבי,gabi,from the back / dorsal,15,3 × 5,3,5,,,,,,,
1301,noun,גן,gan,garden / kindergarten / gene,53,53,53,,,,,,,,
1186,verb/noun,גרם,garam,caused (m.s.) / object / gram,243,3⁵,3⁵,,,,,,,,
538,adjective,גבוה,gavoha,high / tall (m.s.),19,19,19,,,,,,,,
1337,noun,גז,gaz,gas,3+7 = 10,2 × 5,2,5,,,,,,,
415,adjective,גדולים,gdolim,big / large (m.pl.),53,53,53,,,,,,,,
1054,adjective,גדולות,gdolot,big / large (f.pl.),453,3 × 151,3,151,,,,,,,
733,noun,גדוד,gdud,regiment,17,17,17,,,,,,,,
1343,noun,גפן,gefen,vine,3+80+50+50 = 183,3 × 61,3,61,,,,,,,
1275,noun,גשם,geshem,rain,3+300+40+10 = 353,353,353,,,,,,,,
1555,noun,גשם,geshem,rain,343,7³,7³,,,,,,,,
1296,noun,גזע,geza,trunk / stem,3+7+70 = 80,2⁴ * 5,2²,,,,,,,,
1333,noun,גזע,geza,trunk / stem,3+7+70 = 80,2⁴ × 5,2⁴,5,,,,,,,
1367,noun,גזעים,geza'im,stems / trunks,3+7+70+10+40+10 = 140,2² × 5 × 7,2²,5,7,,,,,,
1371,noun,גזר,gezer,carrot,3+7+200 = 210,2 × 3 × 5 × 7,2,3,5,7,,,,,
1303,noun,גידול,gidul,growth / cultivation,3+10+4+6+30 = 53,53,53,,,,,,,,
1569,noun,גידול,gidul,growth / increase / tumor,53,53,53,,,,,,,,
895,noun/verb,גילה,gila,her age / found out (m.s.) / joy,48,2⁴ × 3,2⁴,3,,,,,,,
1261,noun,גילוי,gilui,discovery,59,59,59,,,,,,,,
1281,noun,גבעה,giv'ah,hill,3+2+1+5+5 = 16,2⁴,2⁴,,,,,,,,
1322,noun,גבעה,giv'ah,hill,3+2+1+5+5 = 16,2⁴,2⁴,,,,,,,,
827,noun,גורם,gorem,factor / cause (m.s.),243,3⁵,3⁵,,,,,,,,
1239,noun,גורן,goren,barn,3+6+200+50 = 259,7 * 37,7,37,,,,,,,
638,noun,גורמים,gormim,factors / cause (m.pl.),279,3² × 31,3²,31,,,,,,,
627,adjective,גבוהה,gvoha,high / tall (f.s.),24,2³ × 3,2³,3,,,,,,,
803,noun,העכבישה,ha'akavisha,the spider (female),393,3 × 131,3,131,,,,,,,
437,adjective,האחרון,ha'akharon,the last (m.s.),307,307,307,,,,,,,,
649,noun,העכברה,ha'akhbara,the mouse (female),282,2 × 3 × 47,2,3,47,,,,,,
526,adjective,האחרים,ha'akherim,the other (m.pl.) / the others (m.),665,5 × 7 × 19,5,7,19,,,,,,
1138,noun,האחים,ha'akhim,the brothers / the siblings / the nurses (m.),66,2 × 3 × 11,2,3,11,,,,,,
1042,adjective,האחרונה,ha'akhrona,the last (f.s.),307,307,307,,,,,,,,
1294,adjective,האחרונים,ha'akhronim,the last (m.pl.),663,3 × 13 × 17,3,13,17,,,,,,
597,adjective,האחרונות,ha'akhronot,the last (f.pl.),663,3 × 13 × 17,3,13,17,,,,,,
1049,noun,האלבום,ha'albom,the album,97,97,97,,,,,,,,
1571,noun,העלילה,ha'alila,the plot / the deed / the libel,145,5 × 29,5,29,,,,,,,
1066,noun/verb,העלים,ha'alim,the leaves / hid (m.s.),200,2³ × 5²,2³,5²,,,,,,,
608,noun,העלייה,ha'aliya,the rise / the increase / the immigration,145,5 × 29,5,29,,,,,,,
1376,noun,הענפים,ha'anafim,the branches / the fields,215,5 × 43,5,43,,,,,,,
1069,noun,האנשים,ha'anashim,the people,405,3⁴ × 5,3⁴,5,,,,,,,
1548,noun,האתר,ha'atar,the site,601,601,601,,,,,,,,
731,adjective,העתיקה,ha'atika,the ancient / the old (f.s.),585,3² × 5 × 13,3²,5,13,,,,,,
779,noun,העצמאות,ha'atsma'ut,the independence,586,2 × 293,2,293,,,,,,,
